before ##############################
cost: 0.417967
total mass  : 125.664
partial mass: 125.664
XM
0.717399 -0.0291306 0.444829
0.706564 -0.0387749 0.444821
0.692758 -0.0483579 0.444811
0.676072 -0.0578589 0.444799
0.656612 -0.0672536 0.444786
0.634501 -0.076514 0.444771
0.609872 -0.0856081 0.444755
0.582871 -0.0944996 0.444738
0.553648 -0.103148 0.444721
0.522363 -0.111511 0.444703
0.489177 -0.11954 0.444685
0.454254 -0.127187 0.444667
0.417757 -0.134399 0.44465
0.379848 -0.141125 0.444634
0.340686 -0.147313 0.444619
0.300427 -0.152912 0.444605
0.25922 -0.157875 0.444592
0.217213 -0.162158 0.444581
0.174548 -0.165719 0.444572
0.131362 -0.168527 0.444564
0.0877879 -0.170552 0.444559
0.0439578 -0.171775 0.444556
1.99096e-16 -0.172185 0.444555
-0.0439578 -0.171775 0.444556
-0.0877879 -0.170552 0.444559
-0.131362 -0.168527 0.444564
-0.174548 -0.165719 0.444572
-0.217213 -0.162158 0.444581
-0.25922 -0.157875 0.444592
-0.300427 -0.152912 0.444605
-0.340686 -0.147313 0.444619
-0.379848 -0.141125 0.444634
-0.417757 -0.134399 0.44465
-0.454254 -0.127187 0.444667
-0.489177 -0.11954 0.444685
-0.522363 -0.111511 0.444703
-0.553648 -0.103148 0.444721
-0.582871 -0.0944996 0.444738
-0.609872 -0.0856081 0.444755
-0.634501 -0.076514 0.444771
-0.656612 -0.0672536 0.444786
-0.676072 -0.0578589 0.444799
-0.692758 -0.0483579 0.444811
-0.706564 -0.0387749 0.444821
-0.717399 -0.0291306 0.444829
-0.725192 -0.0194432 0.444834
-0.729888 -0.00972829 0.444838
-0.731457 8.97766e-17 0.444839
-0.729888 0.00972829 0.444838
-0.725192 0.0194432 0.444834
-0.717399 0.0291306 0.444829
-0.706564 0.0387749 0.444821
-0.692758 0.0483579 0.444811
-0.676072 0.0578589 0.444799
-0.656612 0.0672536 0.444786
-0.634501 0.076514 0.444771
-0.609872 0.0856081 0.444755
-0.582871 0.0944996 0.444738
-0.553648 0.103148 0.444721
-0.522363 0.111511 0.444703
-0.489177 0.11954 0.444685
-0.454254 0.127187 0.444667
-0.417757 0.134399 0.44465
-0.379848 0.141125 0.444634
-0.340686 0.147313 0.444619
-0.300427 0.152912 0.444605
-0.25922 0.157875 0.444592
-0.217213 0.162158 0.444581
-0.174548 0.165719 0.444572
-0.131362 0.168527 0.444564
-0.0877879 0.170552 0.444559
-0.0439578 0.171775 0.444556
2.40304e-16 0.172185 0.444555
0.0439578 0.171775 0.444556
0.0877879 0.170552 0.444559
0.131362 0.168527 0.444564
0.174548 0.165719 0.444572
0.217213 0.162158 0.444581
0.25922 0.157875 0.444592
0.300427 0.152912 0.444605
0.340686 0.147313 0.444619
0.379848 0.141125 0.444634
0.417757 0.134399 0.44465
0.454254 0.127187 0.444667
0.489177 0.11954 0.444685
0.522363 0.111511 0.444703
0.553648 0.103148 0.444721
0.582871 0.0944996 0.444738
0.609872 0.0856081 0.444755
0.634501 0.076514 0.444771
0.656612 0.0672536 0.444786
0.676072 0.0578589 0.444799
0.692758 0.0483579 0.444811
0.706564 0.0387749 0.444821
0.717399 0.0291306 0.444829
0.725192 0.0194432 0.444834
0.729888 0.00972829 0.444838
-----------------------------------
-----------------------------------
counter: 8
cost: 8.27779e-10
total mass  : 44.4695
partial mass: 44.4695
XM
0.732271 -1.07501e-16 0.444839
0.730687 -0.00964415 0.444838
0.725946 -0.0192779 0.444834
